Row_ID,Order_ID,Customer_ID,Product_ID,Sales,Quantity,Sales_per_Unit,Discount,Profit,Profit_per_Unit,Costs,Cost_Per_Unit,Shipping_Cost,ShippingCost_per_Unit
32298,CA-2012-124891,RH-19495,TEC-AC-10003033,2309.65,7,329.95,0,762.1845,108.8835,1547.4655,221.0665,933.57,133.3671429
26341,IN-2013-77878,JR-16210,FUR-CH-10003950,3709.395,9,412.155,0.1,-288.765,-32.085,3998.16,444.24,923.63,102.6255556
25330,IN-2013-71249,CR-12730,TEC-PH-10004664,5175.171,9,575.019,0.1,919.971,102.219,4255.2,472.8,915.49,101.7211111
13524,ES-2013-1579342,KM-16375,TEC-PH-10004583,2892.51,5,578.502,0.1,-96.54,-19.308,2989.05,597.81,910.16,182.032
47221,SG-2013-4320,RH-9495,TEC-SHA-10000501,2832.96,8,354.12,0,311.52,38.94,2521.44,315.18,903.04,112.88
22732,IN-2013-42360,JM-15655,TEC-PH-10000030,2862.675,5,572.535,0.1,763.275,152.655,2099.4,419.88,897.35,179.47
30570,IN-2011-81826,TS-21340,FUR-CH-10004050,1822.08,4,455.52,0,564.84,141.21,1257.24,314.31,894.77,223.6925
31192,IN-2012-86369,MB-18085,FUR-TA-10002958,5244.84,6,874.14,0,996.48,166.08,4248.36,708.06,878.38,146.3966667
40155,CA-2014-135909,JW-15220,OFF-BI-10003527,5083.96,5,1016.792,0.2,1906.485,381.297,3177.475,635.495,867.69,173.538
40936,CA-2012-116638,JH-15985,FUR-TA-10000198,4297.644,13,330.588,0.4,-1862.3124,-143.2548,6159.9564,473.8428,865.74,66.59538462
34577,CA-2011-102988,GM-14695,OFF-SU-10002881,4164.05,5,832.81,0,83.281,16.6562,4080.769,816.1538,846.54,169.308
28879,ID-2012-28402,AJ-10780,FUR-TA-10001889,4626.15,5,925.23,0,647.55,129.51,3978.6,795.72,835.57,167.114
45794,SA-2011-1830,MM-7260,TEC-CIS-10001717,2616.96,4,654.24,0,1151.4,287.85,1465.56,366.39,832.41,208.1025
4132,MX-2012-130015,VF-21715,FUR-CH-10002033,2221.8,7,317.4,0,622.02,88.86,1599.78,228.54,810.25,115.75
27704,IN-2013-73951,PF-19120,OFF-AP-10003500,3701.52,12,308.46,0,1036.08,86.34,2665.44,222.12,804.54,67.045
13779,ES-2014-5099955,BP-11185,OFF-AP-10000423,1869.588,4,467.397,0.1,186.948,46.737,1682.64,420.66,801.66,200.415
36178,CA-2014-143567,TB-21175,TEC-AC-10004145,2249.91,9,249.99,0,517.4793,57.4977,1732.4307,192.4923,780.7,86.74444444
12069,ES-2014-1651774,PJ-18835,OFF-AP-10004512,7958.58,14,568.47,0,3979.08,284.22,3979.5,284.25,778.32,55.59428571
22096,IN-2014-11763,JS-15685,TEC-CO-10000865,2565.594,9,285.066,0.1,28.404,3.156,2537.19,281.91,766.93,85.21444444
49463,TZ-2014-8190,RH-9555,OFF-KIT-10004058,3409.74,6,568.29,0,818.28,136.38,2591.46,431.91,763.38,127.23
46630,PL-2012-7820,AB-600,FUR-HON-10000224,1977.72,4,494.43,0,276.84,69.21,1700.88,425.22,759.47,189.8675
31784,CA-2011-154627,SA-20830,TEC-PH-10001363,2735.952,6,455.992,0.2,341.994,56.999,2393.958,398.993,752.51,125.4183333
21586,IN-2011-44803,JK-15325,FUR-CH-10000027,2754,6,459,0,358.02,59.67,2395.98,399.33,752.47,125.4116667
13528,ES-2013-2860574,LB-16795,OFF-AP-10003590,5273.7,10,527.37,0,1898.4,189.84,3375.3,337.53,730.91,73.091
1570,US-2014-133193,NP-18325,TEC-PH-10004182,1713.84,4,428.46,0,445.52,111.38,1268.32,317.08,728.97,182.2425
3484,MX-2014-165309,VD-21670,FUR-TA-10002827,2106.496,8,263.312,0.2,526.496,65.812,1580,197.5,728.39,91.04875
30191,IN-2011-10286,PB-19210,FUR-TA-10004744,1715.16,2,857.58,0,720.36,360.18,994.8,497.4,725.57,362.785
11645,ES-2011-4699764,EB-14110,OFF-AP-10004512,3069.738,6,511.623,0.1,1364.238,227.373,1705.5,284.25,725.34,120.89
37311,CA-2013-159016,KF-16285,TEC-PH-10002885,4158.912,8,519.864,0.2,363.9048,45.4881,3795.0072,474.3759,714.66,89.3325
22999,IN-2012-44810,BP-11230,FUR-CH-10001415,1878.72,4,469.68,0,582.36,145.59,1296.36,324.09,704.08,176.02
